visitId,fullVisitorId,transactionRevenue,sessionDuration,pageViews,visitNumber,channel_id,geo_id,time_id
3019408,5708326877,0,986,1,2,1,1,1
1581146,3698283367,0,261,2,2,2,2,2
8969089,8302424417,0,1102,4,5,3,1,3
4964896,6433287352,0,97,1,3,4,3,4
8905857,8610834162,0,320,10,2,5,4,5
5271770,6530089267,7438,621,10,3,6,4,6
9524545,3787640861,0,643,1,4,7,3,7
6902975,4555352748,0,1078,1,5,8,4,8
2676208,5324087821,9766,972,1,3,9,5,9
6403880,3132901566,0,597,6,5,10,5,10
4904953,1394346115,0,26,5,5,11,2,11
9016295,1458089673,0,94,3,3,12,5,12
9196754,5762156296,0,58,1,2,13,2,13
5718819,1464459327,0,362,10,4,14,3,14
3533494,2798540994,0,58,9,2,15,6,15
1266759,7925250885,4357,1097,7,3,16,5,16
4087030,3379791186,0,373,7,5,17,5,17
6683357,3260490361,16037,268,7,2,18,5,18
5799091,5034587985,0,297,7,3,19,1,19
1068506,8982665046,0,635,6,2,20,4,20
4149861,8319585567,11075,48,4,2,21,4,21
9401756,1050081096,15021,874,7,4,22,2,22
9096007,7860762562,8028,439,6,4,23,1,23
4659971,9348342627,0,1185,7,3,3,2,24
5045149,2475381489,8130,871,3,1,24,3,25
2557614,3136112787,5815,99,4,3,25,4,26
5361070,4864009086,0,926,2,2,15,4,27
3675648,4368953793,3936,1171,2,2,13,5,28
5502674,6291254266,0,804,8,1,26,4,29
6523736,8310676511,17502,65,7,3,27,4,30
3531715,4589694938,0,416,4,2,23,5,31
1582763,8480575659,0,1131,9,3,28,5,32
7100459,7097439621,19709,921,9,1,29,2,33
4241839,8999054215,0,687,3,3,30,3,34
5253579,4624458481,19551,798,9,3,31,5,35
8131058,5201313977,0,108,8,4,32,1,36
3693866,7978895862,16141,116,7,3,33,4,37
8411274,7500563092,0,198,8,2,34,5,38
9288702,9186560316,12732,853,5,3,35,1,39
8565346,6566085910,1145,872,9,2,36,2,40
1278410,9461068861,0,958,6,3,37,3,41
5009926,5053516044,0,326,7,5,38,4,42
3181113,6294871094,0,128,8,2,39,6,43
1508913,6654799371,11912,682,6,4,8,6,44
3367235,8443183607,0,1036,6,3,40,2,45
1590528,4680740314,0,988,8,5,2,3,46
3043528,9610752836,0,190,1,5,41,5,47
6231954,8115346459,0,525,9,5,42,5,48
3342094,1167735444,0,340,7,4,43,2,49
1137477,6217164499,0,364,10,4,44,5,50
5277415,7638396661,0,428,1,4,45,5,51
4736851,5622311848,0,899,2,4,46,5,52
9048779,2802901530,0,515,10,5,47,1,53
1195795,1779628583,6248,1126,3,3,48,2,54
4179938,7601389468,0,197,5,3,49,6,55
3759311,1113279126,0,839,2,3,50,3,56
1375587,1955513355,17586,412,5,2,51,6,57
2677395,1667570649,0,95,8,2,52,5,58
2437536,7257250152,0,1180,1,2,53,6,59
6276087,8499515419,0,942,10,2,42,1,60
7511107,4373681969,0,345,8,1,54,4,61
3507699,1575883347,0,1130,3,5,55,6,62
7045075,9763608041,0,497,3,4,56,3,63
2567874,6009610062,8705,244,10,1,48,5,64
1710130,1526124551,6731,911,2,1,57,1,65
1813006,6291338765,0,805,10,4,58,3,66
9534102,2494307715,0,599,4,1,2,3,67
3403452,5572192637,0,690,4,5,59,6,68
1889311,7647541837,0,984,10,1,60,6,69
7468037,9121561050,15342,137,9,4,14,6,70
9592225,3147372911,0,971,1,2,20,1,71
9602158,4916616799,0,598,1,3,61,5,72
4926073,3782094755,0,477,7,1,41,6,73
8271574,7567678827,0,907,3,2,62,4,74
2608065,7761365751,11602,524,9,2,32,4,75
6288738,6773964577,0,715,6,1,16,5,76
5026491,4222846813,0,442,10,1,63,3,77
9930611,9976450314,0,529,3,2,64,4,78
7790869,6377664136,0,444,7,1,4,1,79
9588268,8463923300,0,480,2,3,65,4,80
1616371,6947758893,0,1066,6,4,66,5,81
2043477,4448326140,0,844,5,5,67,5,82
2750705,1921728511,0,719,10,3,68,4,83
6436660,8072043828,18533,116,6,1,69,4,84
4075745,4424832608,9675,923,1,1,70,6,85
9049011,1490358153,6925,355,1,4,71,4,86
2542301,6064980849,0,152,7,4,72,2,87
3782942,3878196014,0,1176,6,5,73,2,88
9554761,8220034399,0,594,5,4,74,5,89
7948147,6841557218,0,93,2,5,75,2,90
5163202,3044433815,0,89,3,4,17,1,91
3679243,8669739934,4345,676,3,1,9,3,92
1327364,1443241528,0,1070,4,4,64,5,93
5953547,6918111700,3873,1160,10,2,76,3,94
5892513,1591540101,0,154,1,3,77,3,95
2548927,6576809764,0,1022,1,2,11,5,96
2633556,5346505437,0,212,6,1,78,1,97
6602965,7738144377,8468,767,10,1,63,6,98
5251975,1556390579,7058,756,9,3,17,5,99
1343072,1973475215,0,915,7,4,79,1,100
8828537,5830046669,0,605,7,2,80,6,101
8474808,1243056098,18799,415,5,3,81,1,102
5749835,9913062942,3456,904,7,1,82,2,103
7568087,2506767187,0,736,9,5,75,5,104
4460884,6764814020,0,964,4,2,19,6,105
2322273,4706030102,0,806,6,3,6,3,106
1412945,7249251018,16098,497,9,3,42,2,107
2069221,5484025774,0,216,3,3,83,4,108
4059709,9253243461,9407,873,6,4,70,5,109
5751037,8947447171,0,949,3,4,84,2,110
4663510,7547908156,11709,455,2,2,85,5,111
7604790,5838118270,0,696,10,1,55,1,112
7300018,9678792306,0,104,7,1,86,5,113
5965333,3114381018,0,1136,10,1,86,1,114
9316734,6467350478,0,457,8,3,43,5,115
9247129,2380215693,0,944,8,2,87,3,116
7440451,7121358820,6625,309,7,5,88,5,117
6397807,4079175723,0,873,5,2,89,2,118
1873850,1780898525,0,565,7,1,33,5,119
6063349,9589186998,2744,258,9,5,90,3,120
3855106,5244314566,0,864,1,5,91,1,121
8502736,5004642605,0,14,7,1,49,3,122
4415996,9620797499,0,436,7,1,79,3,123
8241836,1455995159,8105,697,4,2,2,5,124
1733332,5085632108,0,499,10,3,25,6,125
4607644,7664325440,0,313,8,2,92,5,126
9972704,6169766068,0,312,9,2,93,1,127
1593502,2337612167,0,537,6,5,47,2,128
6104927,6051056279,0,777,1,2,94,4,129
5869029,1371843972,0,711,9,3,39,4,130
5118309,4819175144,0,1109,6,3,2,1,131
2096099,6696455972,0,340,3,3,95,2,132
8938692,7128354020,0,857,4,3,96,1,133
8898039,6082670741,17809,191,10,3,97,2,134
8576430,3132557247,11304,390,8,2,98,4,135
7472196,9441206555,2327,1140,4,1,30,4,136
6961763,1925723666,17780,28,9,3,37,3,137
5572271,4425943833,0,1035,9,3,84,4,138
9415022,2483022228,0,516,10,5,35,1,139
6082974,9164302898,0,728,2,4,99,1,140
8440187,6153552103,6890,810,5,5,12,6,141
1901885,8580349140,0,786,5,2,21,4,142
5202269,1225056114,0,1048,2,1,100,6,143
4364698,2885957311,0,352,5,5,3,5,144
8389506,5516454826,0,763,8,1,44,6,145
1632979,8140968736,0,1100,8,3,12,6,146
7819584,4637881616,0,1200,2,3,101,3,147
1167080,8197818255,5190,16,4,3,32,2,148
5885287,3392796566,0,172,1,4,60,1,149
6069255,5253806523,0,212,9,3,102,1,150
8445567,4727734939,0,924,5,5,103,1,151
7764839,3977107633,0,804,8,2,74,6,152
3093682,4329065032,0,718,1,1,8,2,153
6120641,5032636332,0,714,6,5,104,1,154
6051792,6249334196,0,580,6,2,105,1,155
2118127,9623477425,0,743,7,1,106,3,156
9955543,9652035661,0,1028,4,2,107,5,157
4593936,6960408823,0,1193,9,5,108,1,158
4976937,4220983148,0,371,2,3,109,6,159
6069807,2475581640,0,817,1,3,110,3,160
4929888,8104082456,0,269,9,4,111,3,161
8423401,5849186462,0,793,5,4,112,6,162
2544350,4527322016,0,50,7,3,113,3,163
7034564,1846077459,0,1006,9,3,114,4,164
1414672,3598981240,11847,919,9,1,70,4,165
3158870,7456799213,0,270,3,5,61,2,166
8800656,6054175750,7993,846,9,4,113,6,167
8578753,7408617317,0,98,7,5,3,6,168
9910611,9125388415,7525,546,10,3,29,3,169
1593961,5152337729,3044,234,7,2,115,3,170
1860255,8515145812,9249,1006,8,2,116,1,171
2062525,9698869231,9197,195,6,2,117,5,172
5763179,1188763474,0,250,5,3,17,2,173
9158309,7395502861,1060,26,10,2,118,4,174
8132178,7689119234,0,121,1,3,119,2,175
8964869,5080242544,16919,883,9,1,100,3,176
5480189,3554449511,0,402,6,1,120,1,177
7524386,1376259694,0,510,1,2,8,2,178
1290945,8338438027,0,199,7,3,86,2,179
9053083,8607932381,8380,614,10,5,121,1,180
8447057,8495761296,0,536,4,1,122,2,181
8529840,4971348477,0,279,1,2,75,6,182
7997348,2424338957,2533,1117,7,1,123,2,183
6075051,9721454926,0,169,3,1,124,6,184
8855474,5889913708,0,415,6,2,125,1,185
8718562,8902583755,0,1155,4,3,55,6,186
2175484,3576075175,2482,176,8,1,121,5,187
2800265,6381108132,13002,151,10,1,56,2,188
4253886,1506719697,0,380,2,4,34,3,189
7178631,5846955372,0,39,6,4,91,3,190
7364506,8691433404,7712,955,4,1,102,1,191
2740100,4297658956,0,685,7,3,126,3,192
7433867,4681989322,0,434,4,4,104,1,193
2385020,6444264341,6587,964,9,3,127,3,194
6659491,9094725428,14673,556,10,4,21,5,195
1556824,7479928691,0,802,1,1,33,4,196
2798563,9134759402,0,129,3,4,36,6,197
6181165,3539905634,19223,260,4,3,22,1,198
7262163,5349577907,0,920,6,1,128,2,199
2775625,7705684373,0,727,10,1,129,2,200
8826124,9921290163,0,854,10,2,128,2,201
3527780,8542445042,10335,744,8,5,8,6,202
1198069,2326379666,3293,159,4,5,130,3,203
1772981,5207239357,16021,1164,1,3,79,2,204
7917009,5934042159,0,531,6,5,131,4,205
3720256,7099287128,0,479,7,5,89,1,206
3994861,7965011438,6126,1095,6,2,132,3,207
5951621,1686729756,3751,377,9,4,18,4,208
7702314,5325250349,0,82,10,5,68,1,209
8305490,6324002296,9390,666,7,2,67,6,210
1141874,2169775586,3908,405,4,2,133,2,211
7738152,7591101293,0,1141,10,2,134,1,212
7763152,3656650626,12129,910,6,1,9,1,213
1592221,6344299493,18897,1057,7,5,30,4,214
9816427,1134252637,0,785,2,3,135,4,215
7463866,6379479279,10977,1087,9,5,132,2,216
9226866,8432105272,0,364,4,5,77,5,217
7918817,7429258613,0,751,8,2,25,5,218
4109784,7083449695,0,873,10,1,59,1,219
7049388,2592214703,0,649,8,1,79,3,220
5487919,7457718995,19810,1077,2,1,55,5,221
3833066,1240410247,13626,56,7,5,57,1,222
7170167,8231789131,0,931,1,2,34,2,223
9698148,3281781858,9030,824,2,1,65,1,224
4133871,4131231617,2425,849,7,3,50,3,225
1377464,4798816796,15466,408,3,4,19,5,226
2637888,7217400256,0,492,8,3,86,2,227
8297017,5350826378,0,424,8,1,122,1,228
3572145,2908598722,2353,306,3,5,120,4,229
9132498,3625858802,0,690,7,2,136,1,230
4934628,6078265514,0,622,8,4,137,1,231
2893517,6502237534,0,277,3,5,32,3,232
5626478,3405100971,0,750,3,2,7,2,233
7170419,6404194556,17259,468,9,5,138,6,234
7939754,9521050145,0,603,5,4,46,2,235
5135546,2388309220,0,919,2,1,18,5,236
8342768,7835061156,0,246,2,5,139,4,237
4185123,9897915188,0,1146,4,2,121,6,238
7184561,3109562660,6646,461,8,4,118,1,239
1753509,1097200593,0,196,8,3,5,6,240
7443103,1839613551,7861,191,7,3,140,4,241
2980742,9490228672,0,181,10,3,88,6,242
3058854,9895864525,0,111,7,4,26,6,243
1156141,3554103951,0,551,7,1,52,3,244
6284580,1327935169,0,936,6,5,141,6,245
6906768,3360462450,0,378,6,1,114,5,246
7071985,8592925019,0,174,3,2,84,1,247
5620407,1770949995,3211,967,3,4,1,4,248
7978125,4689638464,0,200,7,2,142,5,249
4206463,4457228919,0,668,2,4,7,6,250
3288276,9634182759,0,962,10,2,102,1,251
2284956,7208650828,0,215,5,3,69,2,252
7322130,2410350247,0,34,2,2,24,5,253
2698523,3672730694,0,358,5,4,33,2,254
7083318,5079349090,0,547,2,3,108,1,255
6605550,7894555811,0,501,8,5,132,1,256
3483961,3455272442,0,748,2,4,143,3,257
5774348,1794217900,0,1178,7,4,119,2,258
5059452,1559307383,0,515,4,2,136,4,259
1313067,6147221059,4938,649,1,5,144,6,260
6812533,6066678751,0,48,4,1,145,2,261
1957305,4245013431,0,976,6,5,145,1,262
6093591,1404528037,0,796,6,3,88,6,263
8611196,3397753348,0,59,10,1,122,2,264
7933427,4608127279,0,784,9,3,132,6,265
5316772,2449969985,0,486,10,4,2,5,266
6207111,3656846805,0,1185,4,4,146,2,267
9876202,2331634787,0,1048,1,4,40,4,268
5367589,7394747966,10165,375,1,2,147,1,269
5393145,3510565934,0,602,10,4,127,1,270
1121826,3236118552,3146,819,3,3,110,6,271
4688834,6621036210,0,922,4,5,20,5,272
2255405,1476480333,0,845,2,4,49,1,273
6780114,7537149203,0,541,6,4,115,2,274
2645051,7952354070,0,319,2,4,148,2,275
8858746,7295780143,0,140,10,4,26,4,276
9834657,9372685916,0,964,10,1,122,4,277
4293608,8470343404,0,961,5,4,149,6,278
3450884,8392048128,0,962,8,1,18,6,279
5691600,5059237192,0,423,6,4,137,2,280
5102602,6520503028,0,1026,7,5,28,2,281
3368824,8192551400,0,1032,10,1,132,6,282
4999174,6078616972,0,145,9,5,49,2,283
4449044,6274281350,0,680,2,1,105,5,284
6909165,2726278078,0,420,8,2,40,6,285
3195772,1129374945,7979,122,10,3,44,3,286
1365011,1886663506,0,505,8,2,148,1,287
9349411,1994045907,0,593,7,2,37,5,288
2457459,1292935320,11640,830,7,4,9,1,289
3302053,8933391130,0,730,3,2,139,3,290
9223152,6982931379,0,553,9,1,136,5,291
9713158,3222411351,0,660,3,4,118,3,292
1040315,6359303502,3633,720,1,3,150,2,293
5814952,6020805261,16227,1093,10,5,151,4,294
7457751,5020724054,4610,309,6,3,68,5,295
6058590,6231117842,0,1059,7,4,152,2,296
3858231,6704983182,3896,247,4,2,50,6,297
8051916,2496410085,0,455,6,4,153,5,298
2605492,2148552455,0,758,3,5,110,4,299
9194196,3634637591,0,1100,1,1,141,1,300
8910528,8149168589,0,1096,4,4,154,1,301
7955222,9349574283,16489,204,1,2,155,6,302
8892610,7399791853,4833,541,3,1,102,5,303
7623433,3279526236,0,328,2,2,49,6,304
5484846,5458468155,0,1042,2,5,156,5,305
5964248,1386356635,1019,1114,1,3,157,5,306
7080111,2604038302,12246,407,8,5,121,6,307
5535497,1431175739,0,272,3,3,5,3,308
8906359,4533585836,0,829,9,2,30,6,309
7664029,1934832598,0,968,5,3,158,1,310
9647825,7378256627,19860,36,9,4,159,1,311
9123125,2669966625,0,675,1,3,2,3,312
9361467,2388827386,3021,373,5,4,26,4,313
8995512,5081140914,0,471,9,5,131,1,314
3956387,7818855399,0,1151,4,2,91,3,315
6499499,3291729268,0,820,9,3,160,1,316
6101336,1281999243,0,689,9,2,161,2,317
1129916,6284911179,0,15,3,3,70,2,318
8839325,2674476705,0,192,8,3,162,2,319
4609952,2899419680,9836,123,10,3,34,6,320
8543828,8386301417,0,1094,1,5,163,4,321
5486196,1260549321,2658,1196,8,2,164,2,322
3980887,2635882299,0,1144,8,4,1,3,323
5888318,3373373670,15726,33,10,5,90,5,324
4693831,3846492514,0,665,9,2,110,1,325
3229381,5667715320,8151,960,8,5,128,2,326
6968690,9231112655,0,598,7,2,36,1,327
3438197,8278475134,0,540,2,5,165,5,328
8014149,1430109681,0,662,10,2,132,2,329
1409515,9702631219,0,502,9,1,166,1,330
7054915,9384394793,1982,823,8,3,7,4,331
9613825,2594593686,0,661,6,5,139,3,332
8641115,8420089604,0,693,1,2,157,5,333
9307614,4376298874,0,452,3,5,31,1,334
6422312,6001768514,0,1105,1,1,78,4,335
5560533,6319557282,7101,178,5,3,104,6,336
9676662,7430578064,0,1107,2,2,8,4,337
2941559,5348923853,0,540,2,2,128,4,338
6734543,7720040571,17325,1100,5,5,165,4,339
2568727,1226397605,0,905,6,2,167,2,340
6367121,6838126242,12984,981,6,5,36,3,341
1553881,3959490774,16492,1152,3,3,168,5,342
1501804,2718309134,0,810,3,4,78,2,343
2010722,6755205704,0,900,5,3,61,1,344
1352505,7815041149,0,1068,8,5,169,5,345
7024001,6192083330,10124,164,9,2,33,1,346
9008316,6336463932,0,373,3,3,59,1,347
7964632,5527378416,0,646,5,5,89,4,348
8656187,1621869145,0,835,3,1,170,6,349
8539892,7347639425,0,433,4,2,171,6,350
3096489,2142997049,0,318,7,3,54,1,351
2233497,7135030082,4873,1186,2,4,156,2,352
7053875,3931518056,0,694,6,5,146,2,353
1476273,9050773406,0,962,6,2,146,3,354
1216819,7451464646,4253,925,6,1,172,3,355
3120480,4662492468,0,84,6,1,69,1,356
9482908,8634392332,0,968,9,2,131,2,357
2355141,2602859145,3246,1134,4,4,21,2,358
3302281,6236533724,0,777,1,1,119,4,359
5709249,1872240967,0,855,10,3,83,6,360
9499965,2814109331,0,674,5,4,81,3,361
4006234,1141042454,0,657,2,3,79,5,362
4462668,7658732824,0,99,7,4,94,2,363
1673562,2426758230,0,906,8,1,173,2,364
1962101,1392363853,0,108,1,5,115,6,365
9054555,2457132083,0,1147,10,1,34,2,366
4080069,9650695215,0,724,9,3,18,5,367
1857799,1171883121,0,1153,2,3,105,2,368
4282669,8361960818,0,458,7,3,21,2,369
6431962,1857879939,0,77,6,1,88,3,370
3003011,1781308865,0,77,7,1,120,3,371
4361017,3583166919,0,106,6,4,39,2,372
5217962,2978342224,1689,862,4,3,174,5,373
2165609,9846717181,11546,705,5,4,173,5,374
2667770,1477080527,0,44,10,5,163,1,375
1682415,8708877420,3216,944,5,5,175,3,376
5052427,3465742374,0,20,9,3,105,6,377
7859974,3066407926,0,551,1,4,18,4,378
6907226,4129359711,0,975,10,2,176,6,379
9465813,4401488752,0,1120,5,1,76,4,380
4735914,6332334233,0,610,6,3,1,6,381
3921424,1272857293,12325,1085,5,2,111,6,382
8257674,1700025609,12985,526,4,5,21,5,383
5569583,7817682078,0,887,2,2,89,1,384
1358769,8468946471,0,1078,4,5,104,5,385
5860015,4998137638,0,146,3,5,82,2,386
7484030,6182737716,0,1182,4,2,93,5,387
7102614,6189472420,0,87,2,5,177,2,388
1388411,9881906646,16502,848,8,1,174,2,389
4171807,9418063039,0,227,9,1,178,3,390
1252702,6083806741,0,240,7,1,179,3,391
6380111,4700214388,11658,71,5,5,1,3,392
2890256,7118797579,0,1146,8,4,50,6,393
1663240,5036360606,0,826,2,1,171,2,394
4733669,2126512797,0,543,2,2,180,6,395
9117178,6277630023,0,1042,10,5,175,4,396
4615134,7258118525,0,820,6,4,123,6,397
7041162,7681509912,0,621,3,5,23,4,398
8621458,1539755224,0,1146,4,3,52,2,399
6959270,6338126387,0,686,2,3,134,1,400
3375022,9788202406,0,815,1,2,8,4,401
8711466,4507029236,6368,1146,9,5,181,2,402
1406741,3902838838,0,662,3,3,139,5,403
6196093,5200687830,0,288,7,2,182,2,404
6560266,4347624638,0,1002,6,2,149,2,405
6291684,4589814137,0,299,7,2,171,3,406
4993618,9661362446,0,820,5,2,79,6,407
9001913,7931040057,4253,726,8,2,136,1,408
2243698,2271126056,0,370,4,2,129,5,409
5902937,5939740782,0,21,3,4,57,4,410
2510033,7594878188,14843,741,5,4,99,4,411
5591640,5054594331,0,579,4,4,183,2,412
1174857,5107246430,0,468,6,1,181,3,413
1879074,8754312192,0,199,2,3,33,5,414
1081249,5099569127,0,288,3,1,8,6,415
9590792,4456175545,0,209,7,3,28,3,416
4772652,3856287212,0,482,6,3,175,4,417
5912524,6579509286,12227,687,2,3,155,2,418
6782369,6895320870,0,34,8,2,66,2,419
1514374,4671584991,0,403,1,4,52,5,420
3253213,2643562133,0,789,7,4,114,6,421
2155376,2988293486,0,492,3,4,171,2,422
5987480,7317864405,14188,603,7,2,150,1,423
1453597,5536208384,0,1007,6,1,68,1,424
7048772,2596292497,0,605,4,3,27,2,425
1252986,5463713405,0,134,7,3,106,5,426
1853390,8983657122,0,424,2,2,29,3,427
7068541,6705344325,0,889,5,4,73,1,428
9895687,9681368386,0,944,7,4,184,3,429
6684588,5146683968,0,394,4,5,126,3,430
2819524,6112020442,0,941,7,5,21,3,431
8616436,3318140817,0,684,1,4,155,4,432
7897040,1074043421,0,1047,3,5,148,5,433
4342396,5276900749,0,1108,7,4,3,4,434
1774093,2137570862,0,721,5,4,173,3,435
9642753,2181768089,0,94,5,1,74,5,436
8322699,3868770335,11260,971,10,1,34,1,437
6699176,2482941013,14154,867,9,5,152,5,438
1302650,9876558244,0,808,5,4,74,3,439
4352442,9998013304,0,689,1,1,122,5,440
8646913,2139368518,0,1174,9,1,59,2,441
4403734,7447252582,0,323,3,3,132,6,442
2660104,6123416964,0,277,3,5,133,3,443
5397968,7200010035,0,610,7,1,40,4,444
5766206,4945932370,0,366,4,4,185,3,445
2084929,7400313983,2907,173,5,2,142,4,446
3893172,4920450811,17107,1147,9,4,46,5,447
5105060,4540167801,0,1073,10,2,47,6,448
4005197,1290687383,0,238,1,5,11,2,449
3706672,2544810970,0,1170,2,5,89,2,450
1192013,6817674524,7978,598,4,2,161,3,451
1436000,8260883406,0,473,4,1,88,4,452
2186525,2217114790,0,66,10,1,39,1,453
9343056,1631167862,0,285,8,1,163,4,454
7543685,1726626027,0,830,3,5,122,6,455
3919835,1864939390,0,866,2,4,94,5,456
5938989,5602240711,0,372,7,2,97,1,457
3155598,9001612506,12951,192,3,4,24,3,458
1863321,7371716949,18924,188,1,3,180,4,459
6978296,3902259005,0,240,2,2,12,1,460
7418798,6739628684,3223,690,5,3,4,4,461
5742978,9238232484,16767,296,1,4,7,6,462
5553202,5937094627,0,515,4,2,85,6,463
1265832,9000972880,0,674,8,2,184,6,464
5816180,8058255712,18067,818,10,4,177,5,465
5183351,5054788790,0,770,3,5,12,2,466
2442158,4784146792,18700,326,1,2,186,6,467
5839991,4490568158,0,288,9,5,187,2,468
8897906,6011624235,0,595,3,3,160,3,469
8386772,5103092869,15676,798,8,1,47,4,470
5039904,8551040744,0,692,9,5,188,3,471
2006749,6103834742,0,884,10,1,173,1,472
8956463,2521931071,8839,991,1,2,179,1,473
4110787,6615773446,0,160,1,4,74,5,474
1590768,8502533099,0,442,3,4,166,5,475
1496913,9611343532,1920,48,10,4,82,4,476
3022479,4877616820,0,800,8,1,41,2,477
2475251,6392344881,16622,1005,4,2,148,3,478
2197396,3535655990,12992,646,5,4,55,5,479
1692329,5428552164,0,519,8,3,158,6,480
5382429,6061000225,0,889,8,3,176,2,481
4180463,6497773230,0,29,8,4,138,3,482
9976198,6736802862,0,410,1,5,188,5,483
6278855,2305633385,0,984,9,3,43,5,484
1854761,4157237317,0,811,5,1,8,5,485
7605797,9001700410,0,261,1,2,16,3,486
7945805,2654135588,0,316,5,2,117,1,487
5224142,6192338342,0,98,4,5,107,2,488
3813075,5557637742,0,1089,10,4,189,2,489
7336949,2512109659,14914,1072,5,1,190,1,490
3236062,8885971910,0,485,9,4,52,4,491
9518327,7154336332,0,675,5,5,20,1,492
1975579,3985748581,0,306,5,5,168,4,493
4446946,3694363444,0,654,1,5,171,3,494
5358662,6912409707,0,52,3,4,104,1,495
9636404,1169413627,0,408,2,1,123,1,496
7803555,5393418934,13957,438,1,3,150,6,497
5228216,2176676594,0,130,2,4,191,2,498
6091780,7669935167,0,294,1,5,124,1,499
2912540,8513252900,0,869,7,1,172,1,500
